questionID,Category,Gender,Question,Answer,correctAnswer,explanation
11,alcohol,f,Drinking more than 8 units a day (as a female) your chance of an irregular heartbeat is:,2 times as likely; 3 times as likely; 4 times as likely,0,"The more you drink above the higher-risk threshold, the greater the risks. So some of the health risks can be even higher than those above. You're likely to have the same problems as increasing-risk drinkers: feeling tired or depressed, or gaining extra weight. You may be sleeping poorly or having sexual problems. And, like increasing-risk drinkers but possibly more so, you're likely to be in worse physical shape than you would be otherwise, whatever your age or sex. You could also have high blood pressure. "
12,alcohol,,What affect does alcohol have on your sleep? You fall asleep,quickly & deeply; slowly & deeply; quickly but shallowly;  slowly but deeply,2,"Drinking can affect your sleep. Although it can help some people fall asleep quickly, it can disrupt your sleep patterns and stop you from sleeping deeply. So cutting down on alcohol should help you feel more rested when you wake up. "
13,alcohol,,What affect does alcohol have on your immune system?,Weakens it; Strengthens it; Has no effect,0,Regular drinking can affect your immune system. Heavy drinkers tend to catch more infectious diseases. 
14,alcohol,,How many people on average die each year from alcohol-related incidents?,"1,000; 5,000; 10,000; 15,000; 20,000",3,"About 15,000 people in England die from alcohol-related causes each year. About 32% of these deaths are from liver disease, 21% from cancer and 17% from cardiovascular illnesses, such as heart disease and strokes. "
15,alcohol,,One unit of alcohol is equal to how many ml of pure alcohol:,5ml; 10ml; 12ml; 15ml; 20ml,1,"Units are a simple way of expressing the quantity of pure alcohol in a drink. 10ml is the which is around the amount of alcohol the average adult can process in an hour. This means that within an hour there should be, in theory, little or no alcohol left in the blood of an adult, although this will vary from person to person."
16,alcohol,,"A bottle of red, white and rose wine with a 13.5% ABV, contains:",10 units; 12 units; 14 units; 16 units,0,"You can find the ABV on the labels of cans and bottles, sometimes written as ""vol"" or ""alcohol volume"" or you can ask bar staff about particular drinks. You can work out how many units there are in any drink by multiplying the total volume of a drink (in ml) by its ABV (which is measured as a percentage) and dividing the result by 1,000. Strength (ABV) x Volume (ml) / 1,000 = units. "
17,alcohol,,What affect does drinking have on fertility?,decreases it; irrelevant; increases it,0,"Women who drink a lot find it more difficult to conceive. A study reported by the British Medical Journal found that as few as five drinks every week may decrease a woman's chance of becoming pregnant. If you want to conceive, it's probably best to avoid alcohol completely. Alcohol decreases fertility by its effect on sperm quality and quantity. Men trying for a family may want to consider reducing their overall alcohol consumption."
18,alcohol,,What affect does eating a large meal have before going out drinking?,it stops you getting drunk; delays alcohol absorption; reduces alcohol damage,1,"Drinking on a full stomach before you go out will delay alcohol getting into your system, not prevent it. A meal will only delay the rate of alcohol absorption, but if you go on to drink heavily you will get drunk. However, it's still best to eat a proper meal before a night out, especially foods rich in carbohydrates and proteins."
19,alcohol,,Can your body develop a tolerance to alcohol?,"yes, it is safer to drink; yes, you get drunk slower; no it still damages",2,The more you drink the more damage your body will sustain and the greater the risks become. Tolerance can actually be seen as a warning sign that your body has started to be affected by alcohol.
20,alcohol,,What is alcohol?,stimulant; depressant; hallucinogenic; performance enhancer ,1,"Alcohol is actually a depressant. Initially, you may feel more energetic or cheerful because alcohol depresses your inhibitions. However, that means you can also be less able to control your emotions or reactions. "
21,fitness,,If you do regular exercise your risk of coronary heart disease and stroke is reduced by:,15%; 25%; 35%; 45%,2,We should all be physically active. It's essential if you want to live a healthy and fulfilling life into old age. 
22,fitness,,If you do regular exercise your risk of type 2 diabetes is reduced by:,30%; 40%; 50%; 60%,2,We should all be physically active. It's essential if you want to live a healthy and fulfilling life into old age. 
23,fitness,,If you do regular exercise your risk of colon cancer is reduced by:,20%; 30%; 40%; 50%,3,We should all be physically active. It's essential if you want to live a healthy and fulfilling life into old age. 
24,fitness,,If you do regular exercise your risk of depression is reduced by:,10%; 20%; 30%; 40%,2,We should all be physically active. It's essential if you want to live a healthy and fulfilling life into old age. 
25,fitness,,As an adult you should do how many minutes of exercise?,60 minutes a day; 60 minutes a week; 150 minutes a week; 300 minutes a week,2,"At least 150 minutes (2 hours and 30 minutes) of moderate-intensity aerobic activity such as cycling or fast walking every week, and muscle-strengthening activities on 2 or more days a  week that work all major muscle groups (legs, hips, back, abdomen, chest, shoulders and arms)."
26,fitness,,"Even if you hit your weekly activity target, why could you still be at risk of heart disease or stroke?",Putting too much strain on your heart from vigourous exercise; Having a sedantry lifestyle; Doing the wrong type of exercise,0,"Evidence is emerging that sedentary behaviour, such as sitting or lying down for long periods, is bad for your health. Common examples of sedentary behaviour include watching TV, using a computer, using the car for short journeys and sitting down to read, talk or listen to music   and such behaviour is thought to increase your risk of many chronic diseases, such as heart disease, stroke and diabetes, as well as weight gain and obesity."
27,fitness,,How many steps should you aim to walk in a day?,"8,000; 10,000; 12,000; 15,000",1,"Try to fit walking into your routine by ditching the car for short journeys, walking all or part of your journey to work, getting off the bus or train one stop early and planning longer walks at the weekends. To reap the health benefits, aim to walk 10,000 steps a day, which can burn up to 400 calories. To keep track of your walking, use a pedometer. "
28,fitness,,To ensure healthy bones for exercise you shoud eat how much calcium a day?,200mg; 500mg; 700mg; 900mg,2,"Adults should eat at least 700mg of calcium a day, and 1,200mg if diagnosed with osteoporosis. You could get your daily intake by eating a yoghurt, a cheese sandwich, a handful of almonds and a spinach salad. "
29,fitness,,"Before exercising, how long should you wait after a heavy meal?",Up to an hour; 1-2 hours; 2-3 hours; 3-4 hours,2,"Don't exercise for two to three hours after a heavy meal. If you exercise straight after a large meal, you're likely to experience nausea, stomach cramps and discomfort. "
30,fitness,,What type of pre-exercise snack should I have?, banana; chocolate; energy drink,0,"NHS advice warns against snacks that are high in sugar, including soft drinks. You might get a quick energy boost but tell probably be followed by a sudden energy slump. Choose starchy foods, such as brown bread or bananas, which help keep your energy levels constant during exercise. "
31,fitness,,Warming up before a workout causes which two substances to combine to produce energy?,carbon dioxide & glucose; oxygen & glucose; water & oxygen; blood & oxygen,1,"The warm-up process sends oxygen to the muscles, where it works with glucose to produce energy, Robin says. This ensures that the body works more efficiently, and that your workout gives better results. "
32,fitness,,When should you stretch and why?,before exercise to warm up; after exercise once muscles are warm; anytime of day to improve flexibility,1,"Make sure your muscles are warmed up before you stretch. The best time to stretch is after exercise, when your muscles are most supple. "
33,fitness,,"For a low-intensity workout lasting 45-50 minutes, what should you drink?",water; nothing; energy drink; squash,0,It's important to drink fluid during any exercise that lasts for more than 30 minutes. Water may be enough for low-intensity exercise up to 45 50 minutes. 
34,fitness,,Why are energy drinks encouraged for long periods of high intensity exercise?,sugar content; salt content; sugar and salt content; tastes nice,2,"For higher-intensity exercise of 45 50 minutes or more, or lower-intensity exercise lasting several hours, a sports drink can help maintain energy levels and its salt will improve hydration. Choose drinks that contain sodium (salt) when exercise lasts longer than one hour, or in any event when large amounts of salt will be lost through your sweat. "
35,fitness,,"To prevent injury, before increasing the intensity or distance of your run you should do a similar run:",2-3 times; 3-4 times; 4-5 times; 5-6 times,1,Don't be tempted to increase the intensity or distance of your running too quickly. Do a similar run at least three or four times before you increase your pace or distance. 
36,fitness,,"To prevent injury, before exercising you should do a warm up including:",a brisk walk or jog; stretching and a brisk walk or jog; short high intensity run; nothing ,0,It's essential to warm up properly before you start running. Five to 10 minutes of brisk walking or gentle jogging before you start will warm your muscles up and help prevent injury. 
37,fitness,,"On top of aerobic activity, how many times a week should you do muscle-strengthening activities?",not required; one day a week; two or more days a week,2,"muscle-strengthening activities on 2 or more days a week that work all major muscle groups (legs, hips, back, abdomen, chest, shoulders and arms). "
38,fitness,,To ensure healthy bones for exercise you shoud try to cut down on:,milk; cheese; ham; tofu,2,"Salt is thought to speed up the body's loss of calcium. Most of us consume 9g of salt a day, but the recommended limit is 6g, which is just a teaspoonful. Don't add salt to your food and look at food labels to help you cut down. "
39,fitness,,To ensure healthy bones for exercise you shoud try to drink more:,diluted juice; tea; coffee; fizzy drinks,0,"Alcohol, tea, coffee, cola and other fizzy drinks reduce the amount of calcium you absorb and weaken bones. Stick to the recommended amounts of alcohol, and swap your caffeine-fuelled drinks for water and diluted juice. "
40,fitness,,How many repetitions does the NHS recommend in each set of muscle-strengthening activity?,2-4 reps; 4-8 reps; 8-12 reps; 12-16 reps,2,"For each activity, try to do 8 to 12 repetitions in each set. Try to do at least 1 set of each muscle-strengthening activity. You'll get even more benefits if you do 2 or 3 sets. "
41,food,,To get the best health benefits from muscle-strengthening activities you should do:,until you start to sweat; until you start to feel it in your muscles; 3 sets; until you struggle to complete another repetition,3,You should do them to the point where you struggle to complete another repetition. 
42,food,f,"Is there any evidence to support blueberries as a superfood, with added health benefits?",just a fad; just a healthy food;  increase weight loss; reduce heart attack risk,3,"A study in 2012 of 93,000 women found that participants who ate three or more portions of blueberries and strawberries a week had a 32% lower risk of a heart attack compared with those who ate berries once a month or less. However, the study could not prove that these fruits definitely caused the lower risk. "
43,food,,"Is there any evidence to support goji berries as a superfood, with added health benefits?",just a fad; just a healthy food;  increase weight loss; reduce heart attack risk,1,"Although these berries allege to boost the immune system and brain activity, protect against heart disease and cancer, and improve life expectancy, the evidence behind the health claims is weak with inconclusive results or questionable study designs. "
44,food,,"Each week, how many eggs should you limit yourself to?",1-2; 2-3; 3-4; no limit,3,"Eggs are a good source of: protein, vitamin D, vitamin A, vitamin B2, and iodine. There is no recommended limit on how many eggs people should eat. But to get the nutrients you need, make sure you eat as varied a diet as possible.  "
45,food,,"Starchy food such as potatoes, cereals, pasta, rice and bread should make up what percentage of food that you eat?",0; 1/4; 1/3; 1/2; 2/3,2,"Starchy foods should make up around one third of the foods you eat. Starchy foods include potatoes, cereals, pasta, rice and bread. Choose wholegrain varieties (or eat potatoes with their skins on) when you can: they contain more fibre, and can make you feel full for longer. Most of us should eat more starchy foods: try to include at least one starchy food with each main meal. Some people think starchy foods are fattening, but gram for gram they contain fewer than half the calories of fat"
46,food,,How many portions of fish should you try and eat a week?,at least 1; at least 2; at least 3; at least 4,1,"Aim to eat at least two portions a week, including at least one portion of oily fish. Oily fish is high in omega-3 fats, which may help to prevent heart disease. You can choose from fresh, frozen and canned: but remember that canned and smoked fish can be high in salt. Oily fish include salmon, mackerel, trout, herring, fresh tuna, sardines and pilchards. Non-oily fish include haddock, plaice, cod, tinned tuna, skate and hake. Anyone who regularly eats a lot of fish should try to choose as wide a variety as possible. "
47,food,,What type of fruit counts towards your 5-a day?,only fresh fruit; fresh and dried fruit; frozen fruit; unsweetened fruit juice; all of the above,4,"It's recommended that we eat at least five portions of different types of fruit and veg a day. It's easier than it sounds. A glass of 100% unsweetened fruit juice can count as one portion, and vegetables cooked into dishes also count. Why not chop a banana over your breakfast cereal, or swap your usual mid-morning snack for some dried fruit? Learn more in 5 A DAY. "
48,food,,Which fat type can be dangerous and what can it cause?,saturated fat; unsaturated fat; cholesterol,0,"We all need some fat in our diet. But it's important to pay attention to the amount and type of fat we're eating. There are two main types of fat: saturated and unsaturated. Too much saturated fat can increase the amount of cholesterol in the blood, which increases your risk of developing heart disease. "
49,food,,Which of the following food has a high saturated fat content?,hard cheese; avocado; oily fish; vegetable oil,0,"Saturated fat is found in many foods, such as hard cheese, cakes, biscuits, sausages, cream, butter, lard and pies. "
50,food,,Which of the following food contains the most unsaturated fats?,biscuits; cakes; sausages; oily fish,3,"Saturated fat is found in many foods, such as hard cheese, cakes, biscuits, sausages, cream, butter, lard and pies. Try to cut down, and choose foods that contain unsaturated rather than saturated fats, such as vegetable oils, oily fish and avocados. "
51,food,,Roughly what amount of salt is already in the food we eat? (Even if you donêt add extra)  ,0; 25%; 50%; 75%; 100% ,3,"Even if you don't add salt to your food, you may still be eating too much. About three-quarters of the salt we eat is already in the food we buy, such as breakfast cereals, soups, breads and sauces. Eating too much salt can raise your blood pressure. People with high blood pressure are more likely to develop heart disease or have a stroke. "
52,food,,What amount of salt is classed as an unhealthy amount in food? (per 100g),0.5 g of salt; 1 g of salt; 1.5 g of salt; 2 g of salt,2,Use food labels to help you cut down. More than 1.5g of salt per 100g means the food is high in salt. Adults and children over 11 should eat no more than 6g of salt a day. Younger children should have even less. 
53,food,,"How many grams of salt should adults limit themselves to, a day? ",4g; 6g; 8g; 10g,1,Use food labels to help you cut down. More than 1.5g of salt per 100g means the food is high in salt. Adults and children over 11 should eat no more than 6g of salt a day. Younger children should have even less. 
54,food,,What amount of sugar is classed as an unhealthy amount in food? (per 100g),18.5g of sugar; 20.5g of sugar; 22.5g of sugar; 24.5g of sugar,3,Food labels can help: use them to check how much sugar foods contain. More than 22.5g of sugar per 100g means that the food is high in sugar. 
55,food,,Which of the following has the highest fibre content?,90g of peas; 90g of spinach; 1 medium orange; 1 medium apple,0,"Fibre keeps your bowels healthy and can help reduce cholesterol. Most people in the UK eat only about 14g of fibre a day, but should aim to eat at least 18g. Fibre content:  1 medium orange: 3g,  1 medium apple: 2g,   90g of peas: 4g,  90g of spinach: 2g"
56,food,,Trans fats can also raise cholesterol levels in the blood. You should limit it to how much a day?,5g; 10g; 15g; 20g,0,"Trans fats are found naturally at low levels in some foods, such as those from animals, including meat and dairy products. They can also be found in foods containing hydrogenated vegetable oil. Like saturated fats, trans fats can raise cholesterol levels in the blood. This is why it's recommended that trans fats should make up no more than 2% of the energy (kJ/kcal) we get from our diet. For adults, this is no more than about 5g a day. "
57,food,,Most people need to eat more:  ,trans fat; saturated fat; unsaturated fat,2,"Remember, we don't need to cut down on every type of fat. Some fats are not only good for us, most people should be eating more of them. Eating unsaturated fats instead of saturated can help lower blood cholesterol. Unsaturated fat, such as omega-3 essential fatty acids, is found in: oily fish such as salmon, sardines and mackerel nuts and seeds sunflower and olive oils."
58,food,,Food that claims to be  lower fatî have to be how much lower in fat than the standard equivalent?,10%; 20%; 30%; 40%,2,"The lower-fat claim simply means that the food is 30% lower in fat than the standard equivalent. So if the type of food in question is high in fat in the first place, the lower-fat version may also still be high in fat. For example, a lower-fat mayonnaise is 30% lower in fat than the standard version, but is still high in fat. "
59,food,,What is the main role of protein during periods of exercising?,repairs muscle; energy source; improves performance ,0,"Protein including meat, fish, eggs and dairy foods is needed in greater amounts and at regular intervals throughout the day for muscle growth and repair. "
60,food,,"How much red meat (beef, lamb, pork) should a non-vegetarian eat each day?",70g; 150g; unlimited,0,It is recommended we eat no more than 70g of red meat per day. Eating more can increase your risk of bowel cancer.
61,weight,,Which of the following have an affect on metabolism?,"body size & gender; genes & body size;  body size, gender & genes",2,"Body size, age, gender and genes all play a role in determining your metabolic rate. Muscle cells require more energy to maintain than fat cells, so people with a higher muscle to fat ratio tend to have a higher BMR. "
62,weight,,Why does your metabolism slow down as you get older?,natural part of life; you get lazy; loss of muscle; worse diet,2,"Metabolism describes all the chemical processes (which require energy) that go on continuously inside the body, such as breathing, repairing cells and digesting food. The minimum amount of energy your body requires to carry out these chemical processes is called the basal metabolic rate (BMR). As we get older, we tend to gain fat and lose muscle. This explains why the BMR tends to decrease with age. "
63,weight,,"Of your daily energy requirement, what range does  the  basal metabolic rate (BMR) account for? ",20-40%; 40-70%; 70-80%; 80-95%,1,Your BMR accounts for anything between 40% and 70% of your body's daily energy requirements depending on your age and lifestyle. A Slow metabolism is more accurately described as a low BMR. 
64,weight,,Which of the following can increase your metabolism?,green tea; black coffee; spice; energy drinks; none,4,"It is claimed that certain foods and drinks can boost your metabolism, including green tea, black coffee, spices and energy drinks. The evidence behind these claims is flimsy, the effect on your metabolism is marginal at best and each person will respond differently to each product. "
65,weight,,How many lbs should you aim for a week when you are trying to lose weight?,0-1lb; 1-2lb; 2-3lb; 3-4lb,1,"If you're overweight, aim to lose about 5-10% of your starting weight by losing 0.5-1kg (1-2lb) a week. You should be able to lose this amount if you eat about 500 to 600 fewer calories than you need a day. An average man needs about 2,500 calories a day and an average woman about 2,000 calories to stay the same weight. "
66,weight,,Which of the following is the most calorific?,blueberry muffin; flapjack; brownie; plain croissant; fruit scone,0,A blueberry muffin is the most calorific of the options provided at 355kcal. A fruit scone is a better option at around 195kcal.
67,weight,,Which of the following coffee shop drinks contains the most calories? (All small sized and made with whole milk),cappuccino; latte; white coffee; mocha,3,A small mocha is the most calorific of the options provided at around 157kcal. A white coffee is only around 18kcal.
68,weight,,Is it important to eat breakfast when you are trying to lose weight?,no; yes; makes no difference,1,"Some people skip breakfast because they think it will help them lose weight. In fact, research shows that eating breakfast can help people control their weight. A healthy breakfast is an important part of a balanced diet, and provides some of the vitamins and minerals we need for good health. Whole meal cereal, with fruit sliced over the top is a tasty and nutritious breakfast."
69,weight,,How long does it take your stomach to tell your brain you are full?,10 minutes; 20 minutes; 30 minutes; 40 minutes; 60 minutes,1,"Eat slowly. It takes about 20 minutes for your stomach to tell your brain you're full. When you eat fast, it's easy to overeat. "
70,weight,,"If you swap a pina colada FOR a mojito, how many calories can you save? ",126kcal; 226kcal; 326kcal; 426kcal,2,Swap a pina colada FOR a mojito and save 326kcal
71,weight,,A pint of 5% strength beer contains the same number of calories as: ,packet of McCoyês salted crisps;  a 2 finger Kit Kat; croissant ; packet of Walkers Quavers ,0,"A pint of 5% strength beer = a packet of McCoy's salted crisps (170kcal), 2 finger Kit Kat (107kcal), croissant (406kcal) and Quavers (87kcal) "
72,weight,,How many g equal 1 portion of fruit or veg?,80g;100g; 120g; 140g,0,"A portion of fruit or veg is 80g. Fresh, frozen, tinned, dried and juiced fruit and veg all count to- wards your 5 A Day. "
73,weight,,How long does it take a 70kg person running 6mph to burn off the calories in a plain bagel?,12 mins; 14 mins; 16 mins; 18 mins; 20 mins,3,"It takes 18 mins to run off a plain bagel, 10 mins to run off buttered brown toast, 12 mins to run off 2 Hob Nob biscuits and 39 mins to burn off 300g of chicken korma with rice"
74,weight,,How many calories are in a 100g bag of pork scratchings?,221kcal; 321kcal; 421kcal; 521kcal; 621kcal,4,"There are 621 kcal in a 100g bag of pork scratchings, 300kcal in 50g of roasted and salted peanuts and 209kcal in 2 slices of garlic bread."
75,weight,,How many calories are fully loaded nachos (pub meal)?,324kcal; 524kcal; 724kcal; 924kcal; 1124kcal,3,"There are 924 kcal in fully loaded nachos (pub meal), 300kcal in 50g of roasted and salted peanuts and 209kcal in 2 slices of garlic bread."
76,weight,,How long does it take to burn off the calories in a Snickers bar (319kcal) when walking (3mph)? ,54 mins; 64 mins; 74 mins; 84 mins; 94 mins,3,"These times are based on a person weighing 70kg. Lighter people will take longer to burn off the same number of calories: walking (3mph): 84min, running (6mph): 28min , cycling (12-14mph): 35min, park football: 39min , breaststroke swim: 28min."
77,weight,,Why are low fat foods sometimes not better for you? ,you eat more; often replaced by sugar; replaced by unsaturated fat,1,"These foods aren't necessarily low in calories. Often the fat is replaced with sugar, and the food may end up with the same, or an even higher, energy content. "
78,weight,,"What is the main reason for cutting down on alcohol, if you are trying to lose weight?",high in sugar; high in fat; high in fibre,0,"Most people in the UK eat and drink too much sugar. Sugary foods and drinks, including alcoholic drinks, are often high in energy (measured in kilojoules or calories), and could contribute to weight gain. They can also cause tooth decay, especially if eaten between meals. "
79,weight,,On average which of the following takeaway options is lowest in calories?,9-10 inch meat/fish pizza; sweet&sour pork w/ egg fried rice; fish & chips; chicken korma w/ pilau rice; chicken shish kebab In pitta,4,The lowest calorie takeaway is the chicken shish at around 356kcal. The most calorific would be the sweet and sour pork at around 1238kcal. 
80,weight,,On average which of the following supermarket sandwich options is highest in calories?,"ham and salad; cheese and tomato; prawn mayonnaise; egg mayo and cress; BLT (bacon, lettuce and tomato)",1,Cheese and tomato is generally the highest calorie sandwich at around 472kcal. Prawn mayo is around 350. Ham and salad is generally lowest at around 284kcal.
81,sleep,,Which of these could be responsible for a bad nights sleep?,eating meat; smoking; drinking smoothies; exercise ,1,"It's bad for sleep. Smokers take longer to fall asleep, they wake up more frequently, and they often have more disrupted sleep. "
82,sleep,,"If you are suffering from a mid-afternoon slump, what should you do?",eat some chocolate;  have an energy drink; drink some water,2,"If you don't drink enough water you'll feel sleepy, be less able to concentrate, and you may get headaches. When you feel hungry you're often actually thirsty. Don't wait to feel thirsty to have a drink. Keep a filled bottle of water on your desk, so that you're more likely to drink regularly, and can see if you're drinking enough."
83,sleep,,If you are lacking in energy you should:,try a detox;  take some multivitamins; drink an energy drink; eat a healthy diet,3,"Plain water is a better choice than an energy drink. For a quick surge of energy, snack on fruit such as a banana. "
84,sleep,,How many hours should most adults aim for each night?,7 hours; 8 hours;  9 hours; 10+ hours,1,Most of us need around eight hours of good quality sleep a night to function properly   but some need more and some less. You need to find out how much sleep you need and then try to achieve it.
85,sleep,,Which of the following shouldnêt you do before going to bed?,have a warm bath; write a  to doî list; read a book; watch TV; light yoga stretches,3,"Winding down is a critical stage in preparing for bed. There are many ways of relaxing. Your bedroom should be a relaxing environment. Experts claim there's a strong association in people's minds between sleep and the bedroom. However, certain things weaken that association, such as TVs and other electronic gadgets, light, noise, and a bad mattress or bed. "
86,sleep,,Why might you suffer from winter tiredness?,too cold; lack of sunlight; comfort eating,1,"As the days become shorter, your sleep and waking cycles become disrupted, leading to fatigue. Less sunlight means that your brain produces more of a hormone called melatonin, which makes you sleepy."
87,sleep,,Which hormone is responsible for making you sleepy? ,melatonin; thyroxin; amylin; oxytocin,0,"Less sunlight means that your brain produces more of a hormone called melatonin, which makes you sleepy. Because the release of this sleep hormone is linked to light and dark, when the sunsets earlier your body also wants to go to bed earlier   hence you may feel sleepy in the early evening."
88,sleep,,"If your sleep suffers due to a partner's snoring, what advice can you give them?",avoid alcohol before going to bed; nothing just kick them;  lie on their back; start smoking,0,"Snoring self-help tips: avoid alcohol before going to bed, healthy weight and diet, sleep on your side, quit smoking and keep your nasal passages clear."
89,sleep,,Why is sleep so important to your health?,stops you being moody; stops you snacking;  boosts immunity,2,"If you seem to catch every cold and flu that's going around, your bedtime could be to blame. Prolonged lack of sleep can disrupt your immune system, so you're less able to fend off bugs."
90,sleep,,How does sleep help you keep thin?,reduces leptin levels; reduces melatonin levels; reduces insulin levels,0,"It's believed to be because sleep-deprived people have reduced levels of leptin, the chemical that makes you feel full and increased levels of ghrelin, the hunger-stimulating hormone."
91,sleep,,Which of the following suggestion will not help you sleep better?,avoid late night caffeine; set regular wake-up times; wear an eye mask; 2 late night glasses of wine ,3,"Too much food or alcohol, especially late at night, can interrupt your sleep patterns. Alcohol may help you to fall asleep initially, but it will disrupt your sleep later on in the night. "
92,sleep,,How long does a standard sleep cycle last?,60 mins; 90 mins; 120 mins;,1,"While asleep, your body goes through different sleep stages in a cycle that lasts about 90 minutes. You may go through five cycles in a night."
93,sleep,,Which of the following is not known to cause fatigue?,crash dieting; poor posture; whole wheat breakfast; being housebound,2,"Crash dieting:  Very low calorie diets, especially ones that give you less than 850 calories a day, will make you feel even more tired and can damage your health in other ways.  Poor posture:  Bad posture such as hunching forwards and slumping in your seat puts your spine out of alignment. The more out of balance your spine is, the more your muscles have to work in order to compensate. Housebound: Lack of light and fresh air is a key cause of tiredness."
94,sleep,,Which of these is an energy sustaining snack?,wholegrain cereal; chocolate; energy drink; coffee,0,"Energy-sustaining snacks: wholegrain cereal with reduced-fat milk, piece of fruit, salad with grilled chicken, hard-boiled egg or lean ham and mustard sandwich on wholemeal bread or low fat yoghurt."
95,sleep,,"If you are are struggling with fatigue, you should try to:",lose weight; snack during the day; drink caffeine,0,"If your body is carrying excess weight, it can be exhausting. It also puts extra strain on your heart, which can make you tired. Lose weight and you'll feel much more energetic. Apart from eating healthily, the best way to lose weight is to be more active and do more exercise. "
96,sleep,,"If you are are struggling with constantly feeling tired, you may want to try:",regular naps; drink caffeine; counselling,2,There's some evidence that talking therapies such as counselling or cognitive behavioural therapy (CBT) might help to fight fatigue. See your GP for a referral for talking treatment on the NHS or for advice on seeing a private therapist. 
97,sleep,,What affect does an underactive thyroid have on feelings of tiredness?,less tired; irrelevant; more tired;,2,"An underactive thyroid gland means that you have too little thyroid hormone (thyroxin) in your body. This makes you feel tired. Youêre also likely to put on weight and have aching muscles. Itês most common in women, and it happens more often as you get older. Your GP can diagnose underactive thyroid by taking a simple blood test. "
